Aada,40,
Aadam,,21
Aade,52,4
Aadi,,72
Aado,,114
Aadu,,278
Aale,40,
Aalo,4,19
Aap,,30
Aapo,,26
Aare,11,2265
Aaren,,7
Aari,30,10
Aarne,,803
Aaro,,88
Aaron,,261
Aasa,133,
Aave,56,4
Aavi,4,4
Aavo,,774
Abigail,10,
Ada,145,
Adam,,89
Ade,46,
Adeele,300,
Adel,36,4
Adelaida,9,
Adele,312,
Adeli,10,
Adeliina,15,
Adelina,217,
Adeline,7,
Adell,5,
Adi,4,8
Adil,,10
Ado,,152
Adolf,,79
Adrian,,262
Adriana,145,
Adrianna,8,
Adriano,,5
Adu,,38
Aeliita,6,
Aelita,14,
Aet,275,
Agaate,6,
Agata,72,
Agathe,23,
Age,389,
Agi,7,4
Aglaia,7,
Agle,15,
Agne,206,
Agnes,1054,
Agnesa,10,
Agnese,20,
Agnessa,97,
Agneta,28,
Agnete,9,
Agni,17,
Agnieszka,5,
Agnija,14,
Ago,,720
Agor,,30
Agris,6,70
Agu,,440
Agur,,123
Ahmad,,7
Ahmed,,15
Ahmet,,9
Ahti,,798
Ahto,,809
Aida,79,
Aigi,177,
Aia,7,
Aida,79,
Aidan,4,5
Aidar,,11
Aide,123,
Aidi,51,4
Aido,,14
Aigar,,470
Aige,5,
Aigi,177,
Aigjun,5,
Aigo,,29
Aigor,,19
Aigul,5,
Aija,32,
Aike,8,
Aiki,143,6
Aiko,4,35
Aila,39,
Ailar,,68
Aile,225,
Ailen,55,
Ailer,,9
Aili,2060,
Ailin,5,
Ailo,4,12
Aima,27,
Aimar,,666
Aime,2014,
Aimer,,10
Aimi,188,
Aimo,4,14
Aimur,,98
Ain,,2192
Aina,182,
Ainar,,320
Aine,7,
Ainer,,17
Aini,64,
Ainika,26,
Ainike,5,
Ainiki,7,
Ainis,,5
Aino,3174,
Ainura,5,
Aira,141,
Aire,717,
Aires,4,12
Airet,4,16
Airi,707,4
Airiin,36,
Airik,,5
Airika,73,
Airike,17,
Airin,18,
Airis,40,5
Airit,7,4
Airo,,26
Airon,,59
Aisel,7,
Aisha,9,
Aita,631,
Aiti,6,4
Aivar,,4318
Aivars,,38
Aive,564,4
Aiver,,11
Aivi,446,
Aivis,,10
Aivo,,1441
Akim,,49
Ako,,54
Aksa,8,
Aksana,52,
Aksel,,503
Aku,,6
Ala,18,
Alain,,36
Alan,,318
Alar,,1708
Alari,,642
Alarich,,5
Albert,,932
Alberto,,35
Albina,342,
Alda,10,
Aldar,,13
Alder,,21
Aldin,,8
Aldis,,36
Aldo,,202
Aldona,32,
Aldrin,,5
Aldur,,90
Ale,4,5
Alec,,7
Aleftina,132,
Alejandro,,20
Alek,,17
Aleks,,544
Aleksa,32,
Aleksandar,,7
Aleksander,,3522
Aleksandr,,12299
Aleksandra,3582,
Aleksandras,,7
Aleksandrs,,107
Aleksei,,6783
Aleksej,,16
Aleksejs,,42
Aleksey,,108
Aleksi,,19
Aleksia,18,
Aleksis,,10
Alen,,37
Alena,155,
Alesia,9,
Alesja,268,
Alessandra,32,
Alessandro,,48
Alessia,13,
Alesya,15,
Alev,,5
Alevtina,525,
Alex,4,627
Alexander,,4334
Alexandr,,49
Alexandra,610,
Alexandre,,77
Alexandru,,9
Alexei,,45
Alexey,,1517
Alexia,19,
Alexis,5,8
Alfi,4,5
Alfija,5,
Alfred,,295
Algar,,8
Alge,19,
Alger,,42
Algi,32,4
Algimantas,,15
Algis,,109
Ali,6,53
Alia,21,
Aliaksei,,10
Alic,7,
Alica,6,
Alice,400,
Alicia,50,
Alida,31,
Alie,5,
Aliide,107,
Aliina,38,
Aliine,5,
Aliis,102,
Aliisa,19,
Aliise,49,
Alija,16,
Alik,,61
Alika,39,
Alina,2003,
Aline,11,
Aliona,5,
Alis,18,
Alisa,863,
Alise,45,
Alisha,5,
Alisher,,5
Alisia,68,
Alisija,12,
Alison,6,
Alissa,262,
Aliya,18,
Alja,62,4
Alje,26,
Aljona,1152,
Alla,2074,
Allan,,1643
Allar,,632
Alle,10,4
Allen,4,25
Aller,,12
Alli,225,
Alliki,21,
Allu,,5
Allvar,,6
Ally,14,
Alma,171,
Almar,,37
Almer,,20
Almi,8,
Alo,,551
Alois,,9
Alon,,8
Alona,13,
Alondra,30,
Alsu,18,
Alvar,,602
Alvaro,,19
Alver,,61
Alvi,87,7
Alviine,25,
Alvin,4,53
Alvina,86,
Alvine,31,
Alvo,,6
Alya,7,
