name,n
Rannel,11
Marjana,157
Carl-Robert,15
Sheryl,9
Jacek,10
Iana,27
Kreeta,17
Ramis,6
Damir,219
Hermo,35
Else,24
Genert,25
Terli,10
Xenia,44
Ingre,9
Aelita,14
Natalja,7530
Aylin,17
Artemij,6
Eini,35
Ervo,6
Alek,17
Hannelore,15
Vladislav,2173
Ayrton,18
Mai-Brit,6
Rocco,58
Helary,6
Egil,6
Kätli,11
Lizbeth,6
Petra,54
Alda,10
Natela,12
Karl-Andreas,8
Grace,8
Evita,33
Brian,28
Indur,7
Yevhenii,8
Andrean,12
Kylli,9
Ene,4149
Cristi,7
Käthlyn,9
Karl-Oskar,34
Hetti,11
Joosua,10
Mikaela,17
Brigit,12
Gerdi,23
Eugenia,21
Seido,8
Dzintars,11
Milja,66
Elery,67
Ketter,87
Marianna,503
Sirly,98
Donald,28
Ülle,4410
Gerta,97
Regiina,82
Hanna-Stina,14
Hanka,16
Rolan,38
Laura-Maria,28
Alija,16
Eeva,254
Pilvi,408
Yana,170
Siimu,8
Akim,49
Brigitte,12
Valdu,44
Alja,63
Irene,405
Diina,47
Alison,6
Margareeta,8
Mauris,17
Heimo,31
Hanneli,19
Aulike,12
Ina,79
Reijo,189
Maria-Helena,27
Anjuta,7
Alli,224
Harlet,16
Rosanne,9
Marke,13
Tatyana,178
Mariliin,12
Aleksia,18
Susann,18
Teodor,76
Lilya,10
Tõivo,7
Lumme,16
Jason,18
Helme,118
Heti,40
Armand,117
Jelizaveta,1210
Gedi,13
Melita,38
Amelija,16
Elīza,7
Ellen,1422
Mailis,256
Arved,254
Eimar,98
Kassandra,24
Anne-Lii,64
Älis,74
Kateriine,9
Natella,13
Meriliin,26
Olly,9
Anari,38
Serge,8
Vootele,59
Jessenia,13
Arian,9
Kädi,193
Lysandra,54
Kajar,99
Krister,186
Ronaldo,38
Evelii,12
Ursel,21
Brith,6
Samir,22
Donat,27
Ita,42
Nizami,9
Hilja,1030
Devi,8
Erich,458
Haldi,31
Maribell,17
Mai,969
Regon,16
Hengo,13
Reedik,42
Karoliina,446
Ulvar,61
Marcus,550
Sabine,16
Elmar,725
Oleg,4883
Janna,16
Olivia,331
Cristen,7
Enar,90
Maarek,139
Eeli,9
Gregory,55
Ingi,21
Piibe,79
Dariia,7
Valerija,330
Marju,1529
Laire,20
Aade,53
Fredi,112
Darleen,8
Kärolain,7
Maidu,209
Omari,13
Ramona,40
Lusine,9
Reneli,10
Ekke,96
Ilmari,13
Leo,984
Kauri,217
Stiina,77
Henri,1676
Alari,641
Karmeli,7
Terese,14
Helena,1581
Viktoriya,168
Algimantas,15
Marely,10
Kattri,13
Vasilii,29
Tarja,11
Paula,297
Kristella,157
Tavi,8
Larissa,2496
Triina,27
Maike,66
Valerie,10
Taissa,62
Valdik,9
Sandra-Liis,19
Pirjo,93
Getriin,43
Heinry,6
Silvester,33
Kaile,44
Ella,602
Roomet,138
Kulder,7
Alesia,9
Kadri-Ly,6
Kseniya,35
Nikolai,4449
Harriet,55
Harti,21
Helemall,6
Eino,495
Annaliisa,198
Raian,45
Maigo,19
Raju,9
Marjaana,22
Jacob,30
Laurette,16
Semyon,9
Kadi-Liis,58
Jekaterina,4752
Reinis,39
Tarko,20
Meri-Liis,13
